"lambda","lam.ci.l","lam.ci.u","loglik","rho1","rho2","rho3","rho4"
0,0,8,53.5537521380459,149.989986154704,153.214693554072,151.925017239245,152.501658141561
0,0,6,-288.787024171694,149.377159121268,152.135970252846,154.183621827318,154.536810802385
1,0,8,74.9268138287698,152.294811229073,153.507587285237,155.501049338075,155.795667260959
0,0,9,-231.952685822972,151.587269391927,151.84242413706,157.28652128179,155.112111989115
1,0,8,-135.958528190237,151.126343019557,151.999212097751,154.537452454613,156.846507416994
2,0,16,219.215220861087,151.410493692767,152.898348491081,153.472084316401,153.572722187669
1,0,8,11.4367631332874,152.518671270938,152.101843313035,154.462151869311,153.279954421925
2,0,11,36.9278515414637,151.012111000624,154.845037426173,158.321967837795,152.361724012823
2,0,10,122.776132859534,153.642779448631,153.082875452435,153.081052283991,154.50635133045
0,0,9,206.24025119934,152.010595275549,153.142783094289,154.358865575651,152.09122561114
0,0,9,-46.6690258386413,152.002246480922,151.160396299458,154.983022554488,153.179976929099
1,0,8,52.6386887829777,153.333845879547,154.449784641641,153.533944414187,154.254249313178
0,0,11,185.219251437418,153.861065879041,151.384124411149,155.153055790281,153.465475939766
1,0,16,290.174727375724,151.575046288503,155.296607917899,154.001131336803,153.68240753907
2,0,11,221.383684000727,154.380446721438,152.864194060064,155.419416512038,154.042887519674
0,0,7,120.953861350889,152.002817426695,149.425319294582,153.529713815637,153.408575720486
1,0,7,18.7394516196519,152.650031764598,153.067125611998,153.794166421338,154.95430775942
1,0,9,63.5164879497736,152.915477568571,152.248173307488,154.34061631472,154.726370888132
1,0,9,-43.0190239702888,149.778920681952,154.194033351303,156.391137992715,154.384942658841
2,0,10,107.819286121795,151.93201497842,153.165405031323,154.308154298245,155.099171117504
0,0,8,70.7921697078467,152.245811902443,153.265872413914,155.735128780135,153.88214465596
1,0,8,200.50851467118,153.600004159631,153.895852961856,154.648185428352,155.0340742801
0,0,9,-157.994713048742,152.298817553415,153.005891346971,153.787599641111,153.578601057437
0,0,10,250.500247938682,154.874506600769,151.596632375049,156.348829979886,155.4058550076
0,0,11,283.624059243972,152.626271013241,153.729943859197,153.850725338344,153.234094233123
2,0,9,-6.83399224969493,154.757911338256,153.755721675875,155.211254774621,155.630407862307
0,0,9,-185.199013166786,150.977866580268,153.758717144257,154.230999452751,155.994448043453
1,0,9,252.20846296792,151.523489931684,152.772152662833,153.405827331714,153.867677660462
1,0,10,-297.621412377666,152.066889404919,155.117089163589,155.862673259962,155.252283672974
1,0,9,68.7800854506655,151.835999689267,152.925524053415,155.234787268475,153.647369013489
2,0,10,-617.962929636902,147.310601125564,151.924861482898,153.806010918562,154.510760830535
3,0,14,259.398076921879,153.851159429938,154.729750445622,154.062490617787,155.042470248538
0,0,8,89.3046389890995,153.104639616938,151.113613076117,150.848143837449,155.551069206622
2,0,9,64.3426000542749,153.021271233653,153.32036948503,155.14261320563,155.111516379397
0,0,9,-23.1706120110228,151.510428561183,154.196471842276,155.383416000688,155.750885773754
0,0,8,68.2313897468009,153.381026777182,153.639774400866,155.449844970142,155.360451756622
1,0,11,325.754126152812,152.876803329129,152.147379734409,155.352832477404,154.463811674189
1,0,8,-217.296558111874,152.920895368269,150.115921805442,152.717852858021,150.918569342033
2,0,12,-21.4256435868898,152.307495874554,153.163726253833,155.730357033937,153.238703944457
1,0,9,300.074397014002,152.732731964829,154.123967502576,153.70763590927,153.393729159918
0,0,11,182.966135755896,150.635471803979,154.378523251249,154.619296186855,153.148730796308
3,0,14,159.680212359634,153.969980137073,152.591948333662,154.430050800804,155.089226636707
1,0,8,89.2658126308524,153.53629970582,151.888428851659,154.656529155539,154.610856659884
1,0,12,97.7020247579826,153.445763492936,153.246512599643,155.623070012525,154.04055976492
2,0,13,119.820231346668,150.510201807627,155.205064694692,153.389831918437,156.084389971704
2,0,10,-9.19884696515909,151.959910655256,152.964898801478,153.694921135156,153.956405813309
