"model","lambda","lam.ci.l","lam.ci.u","loglik","rho1","rho2","rho3","rho4"
"N",0,NA,NA,100.581323219868,153.380190710063,155.57437332034,155.870980246055,153.844928573787
"N",0,NA,NA,177.864695305066,152.046707654166,151.56267135627,153.056663203819,154.103271062616
"N",0,NA,NA,366.80023957798,153.440312364147,153.851150003165,155.161492712539,153.674033577479
"N",0,NA,NA,343.799220246551,153.364621800955,153.997924687069,154.923863643492,154.704081499747
"N",0,NA,NA,294.521868659226,152.483307743656,150.505262969066,153.052402015599,154.234983222599
"N",0,NA,NA,-203.91619655362,154.542431892816,153.613993804253,155.52771791026,154.178145726244
"N",0,NA,NA,475.171124418799,152.153233279034,153.816819599351,155.235459626901,154.123915601042
"N",0,NA,NA,183.854510281715,150.348793534165,154.584268692508,151.880954472554,151.988656027858
"N",0,NA,NA,175.713652388254,154.060532699301,154.865375739835,155.151037500455,154.082954555556
"N",0,NA,NA,-450.54022027617,151.981678139155,153.714451453859,155.271366829165,152.768122643906
"N",0,NA,NA,63.1200757041739,153.803742201925,151.168529410135,154.525368485256,156.034153409445
"N",0,NA,NA,26.8344463658103,153.560434602413,152.807924844213,156.306661308765,154.686909827431
"N",0,NA,NA,166.200753567073,151.735277703507,152.704359430317,153.541650962234,155.062385521905
"N",0,NA,NA,135.212558270482,151.848604163183,153.084131242578,153.426548632541,154.279897317709
"N",0,NA,NA,-122.556410078103,153.478440613964,153.185970718436,154.624195824146,151.829433586809
"Eb",26,20,33,71.8537195216802,150.334235552869,149.071275725091,150.121753507585,152.69681571754
"N",0,NA,NA,-74.5185927310549,155.579751348648,153.434102148965,154.326920175008,154.170414790888
"N",0,NA,NA,-87.3321328572122,150.930580869984,152.71370455893,155.747244755128,154.628292846308
"N",0,NA,NA,457.273098682548,152.961897241308,150.320904948556,153.171572874572,154.210484734802
"N",0,NA,NA,60.7119985583025,152.642574760213,152.216814247949,153.208084862978,154.595646710811
"N",0,NA,NA,-154.017304458862,153.19098916193,153.438697128404,154.24355096684,155.277250402778
"N",0,NA,NA,197.785442739702,150.597918987921,154.006598547924,154.30809137633,154.070242643037
"N",0,NA,NA,-225.316168549906,149.12909674064,151.854371524053,152.211024996716,151.598283995665
"N",0,NA,NA,36.2640291569264,154.819903719101,152.582961157056,154.547959932435,154.22142035384
"N",0,NA,NA,185.611025607118,151.922939213331,154.330726805009,153.995038510366,155.907583931333
"N",0,NA,NA,-42.6232242760674,153.465646907313,155.396286077907,157.567574226949,154.617062391208
"N",0,NA,NA,-153.063736985387,150.390617131771,153.310843096812,156.203616181033,153.509092797285
"N",0,NA,NA,59.0559865828232,153.182507720432,152.81863424615,155.86789263846,154.910500556664
"N",0,NA,NA,183.882786812079,151.432706811689,152.35090234908,153.165334241246,153.222135755252
"N",0,NA,NA,-235.627281366748,149.773030973204,151.811185708155,153.124035243766,155.404573429483
"N",0,NA,NA,287.052647002325,152.471473643753,151.318255502681,154.854289251938,154.649765625956
"N",0,NA,NA,203.705508611169,152.289630961452,153.449128736587,155.868986343207,154.523353915504
"N",0,NA,NA,262.416525178054,153.906293921401,150.09562627788,154.284303645888,154.111177773846
"N",0,NA,NA,3.52088635833216,153.701022666617,153.24740254843,157.129305702693,153.453823191878
"N",0,NA,NA,443.115872188857,151.584177301363,153.764156992376,155.089140294317,154.179010519745
"N",0,NA,NA,-258.843317338097,152.325877911236,152.448723496408,155.23419180524,151.723905613698
"N",0,NA,NA,-65.0892551708409,154.571966487507,151.710604789074,155.783272519027,155.33735027114
"N",0,NA,NA,-777.240492561859,152.827494848232,152.863226307143,154.736477010463,153.923713567362
"N",0,NA,NA,89.1397694038749,152.000420582875,153.323126614577,154.999619538882,156.518629321661
"N",0,NA,NA,54.661865234001,153.0093833403,151.204311324556,152.853942460791,152.577126854077
"N",0,NA,NA,41.1625403751637,151.946970775253,151.607476273842,152.537417850941,152.403469743233
"N",0,NA,NA,355.172408030812,152.813731386183,154.113988930501,157.576544879768,154.527072409962
"N",0,NA,NA,233.987132803092,152.451285467922,152.784715103236,152.421988146323,152.899158121368
"N",0,NA,NA,-326.71413850816,149.065929068658,154.311594299928,155.86037266602,153.401501354777
"Eb",28,23,35,-195.455773560137,153.741121758388,153.616187799703,155.230350844077,155.112257817935
"N",0,NA,NA,-121.346610294048,150.886812947379,152.169097183608,155.917961158227,154.673169080234
"N",0,NA,NA,76.103558136442,151.762948173655,151.817937147671,156.461205194676,153.437144428414
"N",0,NA,NA,144.275834451261,152.328947156119,152.612663150602,151.93032680688,153.656835859633
"N",0,NA,NA,173.247992084844,153.355149746131,154.588907325064,155.170048892324,152.790101615912
"Eb",28,22,35,42.5349947798814,152.978719249115,153.174736057865,154.025968633042,154.61669170634
"N",0,NA,NA,110.230393496919,154.346025468248,153.956699841581,154.6067827712,153.99968290495
"N",0,NA,NA,54.9831533067479,149.887702374915,151.678720208834,154.033062701098,152.447460938969
"N",0,NA,NA,316.055717841462,153.520646412467,152.785612984026,155.756590960206,154.009475027192
"N",0,NA,NA,72.9379959607354,153.780098927686,153.291181561202,156.028608999596,154.571868417528
"N",0,NA,NA,-129.145423331898,150.277700237109,151.223433516546,153.823733934381,154.215758903733
"N",0,NA,NA,147.315799949061,149.806078020659,154.847688744321,153.340725431036,153.883794338221
"N",0,NA,NA,349.153747383573,152.12052501294,150.491541821445,153.310472284317,154.708275291106
"N",0,NA,NA,218.251558339554,154.353991687766,151.255165005177,154.123108464349,152.795847321796
"N",0,NA,NA,225.342499453022,152.07594143787,153.069048156916,153.803228450876,153.270657309669
"N",0,NA,NA,-105.355037428122,152.055407273202,153.580702209322,155.803558426084,153.853480378145
"N",0,NA,NA,140.769830857443,152.142822347964,152.873051163544,155.991841266946,154.615955684514
"N",0,NA,NA,461.748734852548,152.42397790482,152.685076579352,153.536963831732,153.089689462882
"N",0,NA,NA,48.7276866250827,153.004803395675,153.902109548581,154.864111070171,153.113094588257
"N",0,NA,NA,420.899498338593,155.876722897575,154.908631891192,152.93753710426,154.736243156031
"N",0,NA,NA,-80.7047863114931,152.594070798983,152.43781393422,154.750102277634,155.810723886312
"N",0,NA,NA,118.394030782874,152.223994124075,152.181663808288,152.45941384447,152.993232891827
"N",0,NA,NA,298.932861462068,152.877966057855,152.132047013725,155.028587882052,154.220977013302
"N",0,NA,NA,38.8495136590112,151.297435537504,153.080062459654,152.651080577363,153.390490729791
"N",0,NA,NA,379.931225620672,152.403994163877,152.853442914991,156.606116046053,154.716656803341
"N",0,NA,NA,-431.183012132834,151.041477156037,150.465280602781,155.894911225342,155.054965971518
"N",0,NA,NA,200.219456630741,154.688807978122,153.212104601332,154.990738413194,152.244770594612
"N",0,NA,NA,-252.354600813482,152.219903018515,152.332927900017,153.574470317102,152.444334327546
"N",0,NA,NA,202.648978305024,152.27943802076,152.472990319198,152.858016553003,153.93721296926
"N",0,NA,NA,129.555387900096,149.407351015283,153.607465439396,153.089506762086,152.96831355602
"N",0,NA,NA,-76.7453437903798,150.407453281631,151.170973763572,154.674785582121,153.906828474016
"N",0,NA,NA,-629.377437083323,152.25026508502,151.7290369014,156.225351730506,153.591086788879
"N",0,NA,NA,-246.482829754095,151.730674367777,152.060363554207,155.589143404379,154.750812962328
"N",0,NA,NA,267.127053302696,153.140453590776,153.688479384228,154.445217743536,153.474268948245
"N",0,NA,NA,30.1610830649133,151.792642573543,152.863199539756,155.279629616576,153.385895242319
"N",0,NA,NA,338.067452626666,152.766623251122,155.092775007952,154.611452691847,153.79030645147
"N",0,NA,NA,467.038738037067,151.798966300579,154.416534922175,156.000860948104,152.653851974556
"N",0,NA,NA,229.947196423826,153.490490057211,151.814410979494,155.39254665016,153.846430179671
"N",0,NA,NA,94.5550512721713,152.96407009923,152.820282229384,156.668811194073,153.66153100817
"N",0,NA,NA,44.679578323951,154.42456433505,151.760355878598,153.924807690345,153.222732309452
"N",0,NA,NA,236.048702249569,150.311938644619,152.079150898298,153.247436006853,153.624855310161
"N",0,NA,NA,250.378356443886,152.432412929831,153.590710701125,153.474208294728,152.766226127376
"N",0,NA,NA,167.281571504725,154.066345932922,153.116502886895,156.27815932737,153.63876824357
"N",0,NA,NA,-42.1819305800812,152.541940020171,153.823191114491,153.351732275303,155.504656865745
"N",0,NA,NA,170.859201412042,152.028506197399,152.587293371152,152.414596947574,152.850881339114
"N",0,NA,NA,-65.5646008453314,154.963070636645,154.162493250366,155.235274096376,152.236849860552
"N",0,NA,NA,37.6809552257605,148.480941897048,150.937821533312,152.310072136199,153.90638704495
"N",0,NA,NA,415.030904309496,153.785712372753,153.320866942679,154.075395566213,154.536511725495
"N",0,NA,NA,432.437792696347,153.861722427649,153.289951152055,153.751298229132,153.544795485288
"N",0,NA,NA,-37.5720361206023,149.761064699784,153.53959961176,154.343573763083,153.467335772274
"N",0,NA,NA,-181.113510134405,151.954872734674,151.936221617556,154.633097944778,153.310689013632
"N",0,NA,NA,41.3362946942155,152.526339373293,155.275563927645,155.5743950392,155.249644277527
"N",0,NA,NA,-221.573487138207,153.085605039037,149.942397938903,154.113358446663,154.320858371446
"N",0,NA,NA,-12.4104141246232,151.799175583194,153.713317421572,152.979618382019,155.20645868262
"Eb",24,18,31,225.306537490634,153.694895787326,152.570395124982,153.025224264028,153.330759748433
"N",0,NA,NA,-46.8282471454977,151.409649042506,148.833096501349,153.728397647018,154.062702391585
"N",0,NA,NA,-65.5732916046002,150.745302768353,152.781843039747,155.31892713705,152.406384033686
"N",0,NA,NA,-318.650903600663,147.404597982849,151.528384999653,154.326107376069,154.093150785862
"N",0,NA,NA,410.328534302016,152.349743061672,153.210147657016,153.897088482708,154.506168601759
"Eb",29,24,35,-56.8403703666431,153.355809313317,154.476625103731,156.310492766664,155.194217353516
"N",0,NA,NA,-284.134841410812,151.244157218841,155.079124759003,153.948798491355,155.149548249393
"N",0,NA,NA,-253.046659417928,152.237685263598,151.676553432305,152.682060697399,153.200191317426
"N",0,NA,NA,-291.300812037629,150.207082517598,152.494843826105,153.686465141651,151.660584680579
"N",0,NA,NA,-304.574297131355,151.129373786391,153.728800161187,156.443879601935,154.785097363904
"N",0,NA,NA,-111.202349516611,153.018920006879,153.022678186803,154.900113198456,152.091464478236
"N",0,NA,NA,158.700744446782,151.197335145127,153.58182461321,154.046921353058,154.377538160651
"N",0,NA,NA,155.95858789578,150.755558582383,152.264975866045,153.907929339774,155.188323235112
"N",0,NA,NA,258.934145463132,152.044475566252,154.664163164889,155.304703831263,153.198331764442
"N",0,NA,NA,-61.9979757870953,152.666526619067,153.683770785548,155.624577333816,156.295513842654
"N",0,NA,NA,-62.0495438651013,149.979864032118,151.224283343505,153.466715004673,151.629327283486
"N",0,NA,NA,59.3197176179166,155.920822164977,149.876913133557,153.990233398226,153.068131474644
"N",0,NA,NA,184.806261370827,154.51928424451,154.091498079478,153.691371147864,155.021720729811
"N",0,NA,NA,50.9946172949815,152.717531501565,154.685586792965,154.42407772967,155.105482455216
"N",0,NA,NA,-121.5097353832,151.526968967126,152.356238366437,152.695062282848,152.145954707697
